inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active
ZEEOXIOHEVEEGV-UHFFFAOYSA-N,19677,6,700511,CCN(CC)N=Nc1[nH]nc2nc(C)cc(C)c12,0.3719473607853942,5.45,14.652611026710673,3,8.3,1.0
KHAGVRHLHJSBBB-UHFFFAOYSA-N,19677,6,769054,Cc1cc(C)c2c(N=NN3CCOCC3)[nH]nc2n1,0.28904200908068034,3.7,12.80090742438487,4,5.8,1.0
GTLFRZFPKYHDSN-UHFFFAOYSA-N,19677,6,1969953,Cc1cc(C)c2c(C)[nH]nc2n1,0.30442199525984137,0.2,0.6569827512932787,5,0.2,0.0
RPVJCUALGUABSP-KRWDZBQOSA-N,19732,6,25058395,c1nc(CCO[C@H]2CCCCO2)cc2cc3c(cc12)OCO3,0.7843976921790267,6.81014718145971,8.682008182024838,1,7.4,1.0
GZAOFBCLLWRFTP-INIZCTEOSA-N,19732,6,25058397,c1ccc2cc(CCO[C@H]3CCCCO3)ncc2c1,0.5357162428921001,3.4862243754902043,6.5075950594097876,2,3.6,1.0
ACBCQNBRTUFHRC-INIZCTEOSA-N,19732,6,25058378,Fc1ccc2cnc(CCO[C@H]3CCCCO3)cc2c1,0.8230787377097233,4.098639333856218,4.979644286840626,3,4.6,1.0
FNWCHYFKNGNFQR-INIZCTEOSA-N,19732,6,25058390,Fc1ccc2cc(CCO[C@H]3CCCCO3)ncc2c1,1.0554107851500838,0.8256236386492334,0.7822770529408852,4,3.3,1.0
SKNFOKSGPXAFNM-UHFFFAOYSA-N,19732,6,44142281,COc1ccc2cc(CCOC3CCCCO3)ncc2c1,0.6796044664972394,0.6116212364488074,0.8999664755018084,5,2.323242472897615,0.0
VRPKFCQVKOZRRS-SFHVURJKSA-N,19732,6,25058228,COc1cc2cnc(CCO[C@H]3CCCCO3)cc2cc1OC,0.4225546324116167,-0.3627551249019591,-0.8584810035843933,6,0.6744897501960817,0.0
WOARKIDIRZJUKI-UHFFFAOYSA-N,19751,6,2103345,COc1ccc(-c2cc(-c3nnc(COC(=O)C4CC4)o3)c3ccccc3n2)cc1OC,0.2543413954002709,4.7,18.479099686479877,1,4.7,1.0
DMGFPNFNXGWPFK-UHFFFAOYSA-N,19751,6,4879131,COc1ccc(-c2cc(-c3nnc(COC(=O)C4CC4C)o3)c3ccccc3n2)cc1OC,0.4736746527914947,5.9,12.455806881853782,2,5.9,1.0
ZHPQLYIIQDITBQ-UHFFFAOYSA-N,19751,6,2564298,COc1ccc(-c2cc(-c3nnc(COC(=O)c4ccncc4)o3)c3ccccc3n2)cc1OC,0.36041283812177705,4.1,11.375843383843844,3,4.1,1.0
KQTYYQBJGBDVQQ-UHFFFAOYSA-N,19751,6,3938083,COc1ccc(-c2cc(-c3nnc(COC(=O)CC4CC5CCC4C5)o3)c3ccccc3n2)cc1OC,0.3521278125136724,3.3,9.371597138104129,4,3.3,1.0
NEPRUEYVUDYLPJ-UHFFFAOYSA-N,19751,6,2103346,COc1ccc(-c2cc(-c3nnc(COC(=O)c4ccc(O)cc4)o3)c3ccccc3n2)cc1OC,0.564157729623026,4.3,7.621981893030675,5,4.3,1.0
MOFCLJGTXXNELZ-UHFFFAOYSA-N,19751,6,3957471,COc1ccc(-c2cc(-c3nnc(COC(=O)CC4CCCC4)o3)c3ccccc3n2)cc1OC,0.3639610014551843,2.6,7.143622502423922,6,2.6,0.0
SXZZHGJWUBJKHH-UHFFFAOYSA-N,19762,6,61205,Nc1nnc(-c2ccc([N+](=O)[O-])o2)s1,0.4843537350005363,8.5,17.549157538736825,1,8.5,1.0
AMZGQFFSYYMGLY-UHFFFAOYSA-N,19762,6,324229,O=[N+]([O-])c1ccc(-c2nc(Cl)c3c(n2)CCCC3)o1,0.5194786375954147,9.0,17.325062762271788,2,9.0,1.0
SUDMLGKFWIJSEI-UHFFFAOYSA-N,19762,6,69756,Nc1nc(N)nc(-c2ccc([N+](=O)[O-])o2)n1,0.6454700402352953,9.6,14.872882398229482,3,9.6,1.0
RAUJDUMBXIFDMJ-UHFFFAOYSA-N,19762,6,23797002,CNc1nnc(-c2ccc([N+](=O)[O-])o2)s1,0.7,0.0,0.0,4,,0.0
RLSOYDNFLPSUCN-UHFFFAOYSA-N,19762,6,764276,Cc1nc(N)sc1-c1ccc([N+](=O)[O-])o1,0.0,0.0,0.0,5,,0.0
PXMDYMXZMKIEQI-UHFFFAOYSA-N,19762,6,1383905,CNc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,0.0,0.0,0.0,6,,0.0
WSFYAEMWRQSONQ-UHFFFAOYSA-N,19764,6,16413909,CC(C)(C)OC(=O)N1CCC(N(C(=O)c2ccccc2)c2ccc(Cl)cc2)CC1,0.33713947412540185,8.9,26.39856997786492,1,8.9,1.0
VZMVVTYNZSDARD-UHFFFAOYSA-N,19764,6,16413904,CC(C)(C)OC(=O)N1CCC(N(C(=O)c2ccccc2)c2ccc(F)cc2)CC1,0.3197239841033816,7.3,22.832193901473374,2,7.3,1.0
KJANKSLLWNSBKI-UHFFFAOYSA-N,19764,6,16413906,COc1cccc(C(=O)N(c2cc(C)cc(C)c2)C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.5128577494135247,6.4,12.47909387606735,3,6.4,1.0
QJTRDIHWDYJTTK-UHFFFAOYSA-N,19764,6,16413908,Cc1cc(C)cc(N(C(=O)c2ccccc2)C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.636127403012096,4.8,7.545658271081788,4,4.8,1.0
DRHLWOCTZFQDPV-UHFFFAOYSA-N,19764,6,16413903,CC(=O)Nc1ccc(N(C(=O)c2ccccc2)C2CCN(C(=O)OC(C)(C)C)CC2)cc1,0.3373422980118999,0.0,0.0,5,0.0,0.0
YGSBUMOFMVSQCB-UHFFFAOYSA-N,19764,6,16413905,COc1cccc(C(=O)N(c2ccc(NC(C)=O)cc2)C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.3073036104380322,0.0,0.0,6,0.0,0.0
ICTIZTFLDCETNY-LENAZYNHSA-N,19772,6,135425042,Cc1ccc(/N=C/C(C(=O)C(F)(F)F)=C(\O)c2ccco2)cc1Cl,0.7681447425615102,7.617987011936856,9.91738482324747,1,8.566019827490237,1.0
IYPHJGKUZQHULZ-WSJLWEEOSA-N,19772,6,135425044,Cc1cccc(/N=C/C(C(=O)C(F)(F)F)=C(\O)c2ccco2)c1,0.5548250063657854,4.657726441631831,8.394946853857345,2,5.470861307145996,1.0
NSPRWAJBQLRVMS-RFSUNTFKSA-N,19772,6,135425041,O=C(C(/C=N/c1ccc(Br)cc1)=C(/O)c1ccco1)C(F)(F)F,0.8106288159822781,5.575781934954275,6.8783416343247445,3,6.879795452000033,1.0
JGSVAIZZMQORCS-GDFPKZRHSA-N,19772,6,135425055,O=C(C(/C=N/c1cccc(C(F)(F)F)c1)=C(/O)c1ccco1)C(F)(F)F,0.48118206538659714,3.042698206440102,6.323382406190681,4,5.545804612723338,1.0
QQMYTEHGYITVNI-RFSUNTFKSA-N,19772,6,135517187,O=C(C(/C=N/c1ccc(F)cc1)=C(/O)c1ccco1)C(F)(F)F,0.847517963155071,4.773888565276711,5.632787472143796,5,5.800611851686302,1.0
QQXUHMOOSXZQGF-UHFFFAOYSA-N,19773,6,2746659,O=C(CSC1=NNC(c2ccccn2)S1)Nc1ccccc1,0.5475823215291732,4.641690857591044,8.476699621398847,1,6.2,1.0
IQZPEFTWPLGMGB-UHFFFAOYSA-N,19773,6,2746653,c1ccc(CSC2=NNC(c3ccccn3)S2)cc1,0.7931557143898917,4.219824929187686,5.320298212102832,2,4.239649858375371,1.0
DHPJRZFBJOWYTH-UHFFFAOYSA-N,19773,6,2746661,O=C(CSC1=NNC(c2ccccn2)S1)Nc1ccc(C(F)(F)F)cc1,0.688635888713618,3.5807578933893645,5.199784025311653,3,3.6615157867787294,1.0
UTCYFHPJTTXHSE-UHFFFAOYSA-N,19773,6,2746662,O=C(CSC1=NNC(c2ccccn2)S1)Nc1cccc(Cl)c1,0.647975360185466,2.6989795003921637,4.165250202754086,4,2.7,0.0
NOSZMIRNIHHMSB-UHFFFAOYSA-N,19784,6,1475980,FC(F)(F)c1nnc2c(Sc3ccc(Cl)cc3)nc3ccccc3n12,0.6616639349717449,6.20787146537817,9.382212233833275,1,7.515742930756339,1.0
VMJPEAFWENMSRW-UHFFFAOYSA-N,19784,6,1475985,FC(F)(F)c1nnc2c(Sc3ccccn3)nc3ccccc3n12,0.46353335002421,3.6161806077871255,7.801338582430488,2,4.432361215574251,1.0
BQHLYYOWGVWXDC-UHFFFAOYSA-N,19784,6,1475986,FC(F)(F)c1nnc2c(Sc3ccccc3)nc3ccccc3n12,0.6478685505976194,4.992492518683488,7.706026961917223,3,5.684985037366975,1.0
SUUMKHOVGVYGOP-UHFFFAOYSA-N,19784,6,1486608,FC(F)(F)c1nnc2c(Sc3ccccc3)nc3ccc(Cl)cc3n12,1.0153682247238676,7.450582822577051,7.337813653370194,4,7.901165645154101,1.0
VBZLMDFWIXKRQK-UHFFFAOYSA-N,19784,6,1475987,COc1ccc(Sc2nc3ccccc3n3c(C(F)(F)F)nnc23)cc1,0.2890874801952356,0.785422714397761,2.7169032497267773,5,0.8,0.0
DPYPTDPLFNQVIR-UHFFFAOYSA-N,19818,6,18074960,Cc1cnc(C(=O)OC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cn1,0.2878050838079652,7.9,27.449132918274607,1,7.9,1.0
