inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
HNFIJWNVPWXSOL-UHFFFAOYSA-N,4716,48,774385,Cc1ccccc1-c1n[nH]c(=S)o1,0.253259914407071,4.6,18.163158630016373,1,4.6,1.0,48,29,46,1,0.0217391304347826,1,0,yes
AOTNPOGERIVASA-KRWDZBQOSA-N,4732,48,44601566,CCOC(=O)CC[C@H](NC(=O)Cn1cnc(C(=O)Nc2ccc(C)c(C)c2)n1)C(=O)OCC,0.491742730061003,7.0,14.235085893657477,1,7.0,1.0,48,48,50,1,0.02,0,1,yes
NPOVJCRFKSUHPM-UHFFFAOYSA-N,4773,47,2982240,CSc1nsc(SCC(=O)Nc2ccc(OC(C)=O)cc2)n1,0.5594779523620681,8.28658835955186,14.811286708558564,1,8.28658835955186,1.0,47,32,78,1,0.0128205128205128,0,1,yes
XXOUKAQMQKDUCV-UHFFFAOYSA-N,4774,47,16187899,OCC1(CCc2ccccc2)CCN(Cc2cc(Cl)ccc2O)CC1,0.3647744439675656,4.8,13.158816576598763,1,4.8,1.0,47,28,75,1,0.0133333333333333,1,0,yes
HHLIMUDWJDGUII-UHFFFAOYSA-N,4785,47,4257872,CC(C)(C)OC(=O)NCCc1nnc(SCc2cccc(Cl)c2)o1,0.2493330553024202,5.5,22.058848127172546,1,5.5,1.0,47,47,71,1,0.0140845070422535,1,0,yes
TZVFUFRCUOACND-UHFFFAOYSA-N,4804,47,16682210,O=C(c1ccc2c(c1)OCO2)N1CCC2(CC1)Oc1ccc(F)cc1C(=O)C21CC(c2ccccc2)=NO1,0.7332766389106756,7.7,10.500811823814256,1,7.7,1.0,47,47,18,1,0.0555555555555555,1,0,yes
OHJAABPTLPKFBQ-UHFFFAOYSA-N,4858,46,1383269,Cc1cccc(N(Cc2cc(=O)[nH]c3ccccc23)C(=O)CCl)c1,0.6547331484463333,5.307677191185819,8.106626652065524,1,7.323031573557459,1.0,46,46,57,3,0.0526315789473684,3,0,yes
QJTNZRLPKZSMHQ-UHFFFAOYSA-N,4868,46,24818971,Cc1ccc(OCc2cc(C(=O)N(C)CCc3ccccc3)no2)cc1C,0.7900972562637928,7.634410153965161,9.662620764014186,1,8.168820307930323,1.0,46,46,44,2,0.0454545454545454,1,1,yes
GEUSDTXWGRQRGS-OFNKIYASSA-N,4930,45,44263566,Cc1ccc(S(=O)(=O)N2[C@@H](c3ccc(Br)cc3)C(C(=O)O)=C[C@H]2CC2CCCC2)cc1,0.5206571390164709,6.7,12.8683532749717,1,6.7,1.0,45,45,22,1,0.0454545454545454,1,0,yes
YWVYTEFXPUIBGI-UHFFFAOYSA-N,4946,45,16188199,CCc1ccc(CN2CCCC(C(=O)c3sccc3C)C2)o1,0.3650019495739074,5.210714125686286,14.27585285987957,1,5.7,1.0,45,36,48,2,0.0416666666666666,2,0,yes
