gcm_cluster,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
5165,43,24,58,4,0.0689655172413793,1,3,yes
5181,43,43,100,2,0.02,1,1,yes
5190,43,40,27,2,0.074074074074074,2,0,yes
5218,42,27,27,1,0.037037037037037,1,0,yes
5234,42,37,48,1,0.0208333333333333,0,1,yes
5238,42,31,48,1,0.0208333333333333,1,0,yes
5322,41,14,100,1,0.01,1,0,yes
5328,41,37,75,1,0.0133333333333333,1,0,yes
5333,41,36,85,1,0.0117647058823529,1,0,yes
5350,41,19,50,1,0.02,1,0,yes
5362,41,28,75,1,0.0133333333333333,1,0,yes
5364,41,37,64,1,0.015625,1,0,yes
5387,40,40,32,2,0.0625,1,1,yes
5405,40,39,21,1,0.0476190476190476,1,0,yes
5413,40,38,20,2,0.1,2,0,yes
5416,40,36,38,1,0.0263157894736842,1,0,yes
5455,40,21,37,4,0.1081081081081081,3,1,yes
5469,40,34,106,2,0.0188679245283018,1,1,yes
5504,39,30,78,2,0.0256410256410256,1,1,yes
5547,39,31,38,1,0.0263157894736842,0,1,yes
5576,39,34,48,1,0.0208333333333333,1,0,yes
5596,39,22,23,4,0.1739130434782608,4,0,yes
5601,39,39,44,1,0.0227272727272727,1,0,yes
5613,39,20,24,1,0.0416666666666666,1,0,yes
5624,38,34,58,2,0.0344827586206896,2,0,yes
5639,38,21,74,1,0.0135135135135135,1,0,yes
5680,38,24,37,1,0.027027027027027,1,0,yes
5687,38,32,76,2,0.0263157894736842,1,1,yes
5699,38,24,89,3,0.0337078651685393,2,1,yes
5702,38,27,109,1,0.0091743119266055,1,0,yes
5703,38,38,70,4,0.0571428571428571,4,0,yes
5710,38,26,75,1,0.0133333333333333,1,0,yes
5718,38,33,36,4,0.1111111111111111,4,0,yes
5730,38,37,30,1,0.0333333333333333,1,0,yes
5753,37,18,80,4,0.05,3,1,yes
5821,37,21,48,4,0.0833333333333333,0,4,yes
5833,37,20,112,2,0.0178571428571428,1,1,yes
5853,37,37,13,1,0.0769230769230769,1,0,yes
5913,36,26,46,1,0.0217391304347826,1,0,yes
5939,36,36,84,1,0.0119047619047619,1,0,yes
5947,36,31,39,1,0.0256410256410256,1,0,yes
5959,36,23,88,2,0.0227272727272727,2,0,yes
5962,36,28,77,1,0.0129870129870129,1,0,yes
5978,36,24,39,1,0.0256410256410256,1,0,yes
5985,36,27,51,1,0.0196078431372549,1,0,yes
5987,36,27,75,2,0.0266666666666666,2,0,yes
5990,36,36,52,1,0.0192307692307692,0,1,yes
5993,36,18,39,1,0.0256410256410256,1,0,yes
5995,36,24,48,3,0.0625,3,0,yes
5999,35,22,75,1,0.0133333333333333,0,1,yes
6026,35,35,50,1,0.02,1,0,yes
6038,35,35,46,1,0.0217391304347826,1,0,yes
6067,35,34,56,3,0.0535714285714285,1,2,yes
6094,35,28,74,1,0.0135135135135135,0,1,yes
6100,35,33,83,2,0.0240963855421686,1,1,yes
6120,35,23,83,1,0.0120481927710843,1,0,yes
6122,35,33,27,2,0.074074074074074,2,0,yes
6179,34,26,51,2,0.0392156862745098,2,0,yes
6208,34,22,43,1,0.0232558139534883,1,0,yes
6215,34,20,49,1,0.0204081632653061,1,0,yes
6226,34,28,48,2,0.0416666666666666,2,0,yes
6249,34,22,72,4,0.0555555555555555,4,0,yes
6273,33,14,98,1,0.010204081632653,1,0,yes
6325,33,21,81,2,0.0246913580246913,2,0,yes
